id,name,task_type,result,solution_time,times
1,trening,1,dobrze,2303,"[839,1359]"
2,trening,2,zle,139334,"[839,1359,137672,138455]"
3,trening,1,dobrze,2404,"[1007,1544]"
4,trening,1,dobrze,2052,"[562,1251]"
5,trening,2,zle,2620,"[562,1251,1159,1825]"
6,trening,3,zle,4034,"[562,1251,1159,1825,563,1915]"
7,trening,4,zle,3503,"[562,1251,1159,1825,563,1915,975,2051]"
8,trening,1,dobrze,2232,"[762,1387]"
9,trening,2,dobrze,1024,"[762,1387]"
10,trening,3,dobrze,1148,"[762,1387]"
11,trening,4,dobrze,944,"[762,1387]"
12,trening,1,zle,10572,[]
13,trening,1,zle,3449,[2597]
14,trening,1,zle,1698,[]
15,trening,2,zle,3351,[]
16,trening,3,zle,1470,[]
17,trening,4,zle,1678,[]
18,ryba,1,dobrze,37598,"[35462,36375]"
19,ryba,2,zle,3802,"[35462,36375,1044,1910]"
20,ryba,3,zle,21365,"[35462,36375,1044,1910,15972,16558]"
21,ryba,1,dobrze,11729,"[10102,10934]"
22,trening,1,dobrze,6826,"[2191,3688,4799,5416]"
23,trening,1,zle,5426,[]
24,trening,1,zle,6249,[3112]
25,trening,1,zle,1491,[674]
26,trening,1,zle,2250,[1377]
27,trening,1,zle,2868,[2216]
28,trening,1,zle,2515,[1649]
29,trening,1,zle,1049,[]
30,trening,2,zle,4313,[]
31,trening,1,zle,7242,[6136]
32,trening,1,zle,2752,[1904]
33,trening,2,zle,9929,"[6448,7464]"
34,trening,1,zle,2913,[]
35,trening,2,zle,54106,[]
36,trening,1,zle,2794,[]
37,trening,2,zle,4193,[]
38,trening,3,zle,420640,[]
39,trening,4,zle,1817,"[640,961]"
40,czcxxzc,1,zle,4493,[1545]
41,czcxxzc,2,zle,4081,"[1816,2864]"
42,czcxxzc,3,zle,4074,"[2713,3329]"
43,czcxxzc,4,zle,17881,[11224]
44,sdadas,1,zle,3922,[]
45,sdadas,2,zle,937,[]
46,sdadas,3,zle,1249,[]
47,sdadas,4,zle,1025,[]
48,sdadas,1,zle,72877,[]
49,sdadas,1,zle,4594,[]
50,sdadas,1,zle,7555,[]
51,sdadas,1,zle,3449,[]
52,sdadas,1,zle,1776,[]
53,sdadas,1,zle,3106,[]
54,sdadas,1,zle,2083,[]
55,sdadas,2,zle,1871,[]
56,sdadas,1,zle,1980,[]
57,sdadas,2,zle,2344,[]
58,sdadas,3,zle,2632,[]
59,sdadas,4,zle,2349,[]
60,sdadas,1,zle,4974,[]
61,sdadas,2,zle,9738,[]
62,sdadas,1,zle,1895,[]
63,sdadas,2,zle,1802,[]
64,sdadas,3,zle,3134,[]
65,sdadas,4,zle,1721,[]
66,sdadas,1,zle,2164,[]
67,sdadas,2,zle,2441,[]
68,sdadas,1,zle,5264,[]
69,sdadas,1,zle,15051,[]
70,sdadas,2,zle,3949,[]
71,sdadas,3,zle,5523,[]
72,sdadas,4,zle,8300,[]
73,sdadas,1,zle,11545,[]
74,trening,1,zle,7012,[]
75,piternt,1,zle,10594,[3720]
76,piternt,2,dobrze,223263,[221246]
77,piternt,5,zle,2479,[1561]
78,piternt,6,zle,2097,[1245]
79,piternt,3,zle,2509,[1462]
80,piternt,4,zle,4788,[1722]
81,trening,1,zle,2247,[]
82,trening,2,zle,2519,[]
83,qwqwq,1,zle,3526,[]
84,opopo,1,zle,2215,"[1157,1478,1829]"
85,opopo,2,zle,3374,"[1032,1285,1757,2121,2415,2724]"
